Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
118,-0.4962,0.0458,0.0229,-0.01825064,-0.03511900,0.99914569,15.99951,15.99951,15.11230
120,-0.5420,0.0458,0.0382,-0.01989144,-0.05474931,0.99819383,15.99951,15.99951,15.11230
122,-0.4275,0.2061,0.0000,-0.02953839,-0.09228020,0.99522027,15.99951,15.99951,15.11230
124,-0.1756,0.1908,0.0534,-0.04339719,-0.11611236,0.99224977,15.99951,15.99951,15.11230
126,-0.0076,0.0687,0.1069,-0.05076997,-0.12495987,0.99079742,15.99951,15.99951,15.11230
128,0.0687,0.0687,0.0534,-0.05191249,-0.12605009,0.99058170,15.99951,15.99951,15.11230
130,0.0534,0.0076,0.0305,-0.05039285,-0.12554965,0.99077711,15.99951,15.99951,15.11230
132,-0.0382,-0.1145,-0.0153,-0.03911184,-0.12703751,0.99106044,15.99951,15.99951,15.11230
134,-0.1221,-0.1145,-0.1298,-0.02379837,-0.13189487,0.99097757,15.99951,15.99951,15.11230
136,-0.1069,-0.1527,-0.1679,-0.01457964,-0.13387502,0.99081611,15.99951,15.99951,15.11230
138,-0.0611,-0.2901,-0.2214,0.02024058,-0.13022863,0.99125595,15.99951,15.99951,15.11230
140,-0.0458,-0.3511,-0.2290,0.03426757,-0.12703554,0.99123401,15.99951,15.99951,15.11230
142,-0.0076,-0.4046,-0.2824,0.06558465,-0.11694607,0.99085788,15.99951,15.99951,15.11230
144,0.0153,-0.4275,-0.3664,0.09631318,-0.10334525,0.98994178,15.99951,15.99951,15.11230
146,0.0153,-0.4351,-0.3893,0.11097898,-0.09491001,0.98928050,15.99951,15.99951,15.11230
148,0.0305,-0.2824,-0.4656,0.13389170,-0.07689610,0.98789987,15.99951,15.99951,15.11230
150,0.0992,-0.2443,-0.5573,0.14727680,-0.05601165,0.98744554,15.99951,15.99951,15.11230
152,0.1298,0.0153,-0.6641,0.15030202,-0.03351845,0.98798160,15.99951,15.99951,15.11230
154,-0.0611,0.1908,-0.6794,0.13194406,-0.01973312,0.99100036,15.99951,15.99951,15.11230
156,-0.1527,0.1679,-0.6718,0.12138881,-0.01924285,0.99236288,15.99951,15.99951,15.11230
158,-0.1069,0.3664,-0.6947,0.09338297,-0.02398594,0.99528484,15.99951,15.99951,15.11230
160,0.1527,0.3969,-0.6183,0.05732326,-0.02056393,0.99807033,15.99951,15.99951,15.11230
162,0.3969,0.2672,-0.5344,0.02570586,-0.00346352,0.99961004,15.99951,15.99951,15.11230
164,0.5115,0.0611,-0.4580,0.00697567,0.02242704,0.99971055,15.99951,15.99951,15.11230
166,0.4962,0.1145,-0.4504,-0.00172739,0.03603651,0.99932899,15.99951,15.99951,15.11230
168,0.2824,0.1908,-0.3130,-0.02616821,0.05595952,0.99805717,15.99951,15.99951,15.11230
170,0.0382,0.2824,-0.1298,-0.05336186,0.05670090,0.99693641,15.99951,15.99951,15.11230
172,-0.0229,0.3969,-0.0305,-0.08401023,0.04697929,0.99528970,15.99951,15.99951,15.11230
174,0.0153,0.3282,-0.0305,-0.11064075,0.03490905,0.99322681,15.99951,15.99951,15.11230
176,0.1679,0.2443,-0.0076,-0.11992069,0.03234761,0.99215469,15.99951,15.99951,15.11230
178,0.3282,-0.0305,0.1908,-0.12654783,0.03743209,0.99120635,15.99951,15.99951,15.11230
180,0.0534,-0.1450,0.4351,-0.11605840,0.03702476,0.99250307,15.99951,15.99951,15.11230
182,-0.0687,-0.0229,0.4351,-0.11182230,0.02820315,0.99323253,15.99951,15.99951,15.11230
184,-0.2595,0.2672,0.3359,-0.11523303,-0.01437233,0.99315443,15.99951,15.99951,15.11230
186,-0.2519,0.1908,0.3969,-0.11838266,-0.03121910,0.99239645,15.99951,15.99951,15.11230
188,-0.2748,-0.0229,0.5878,-0.11594258,-0.06277875,0.99122581,15.99951,15.99951,15.11230
190,-0.1374,0.0382,0.7786,-0.10956485,-0.08739612,0.99009437,15.99951,15.99951,15.11230
192,-0.0687,0.1298,0.8015,-0.10890506,-0.09536170,0.98942060,15.99951,15.99951,15.11230
