Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
650,-14.8125,-4.5625,-6.6250,0.11216878,0.18456863,0.87695598,15.99951,15.99951,15.11230
652,-25.7500,-5.0000,-4.3125,0.12236596,0.18660806,0.83412790,15.99951,15.99951,15.11230
654,-32.9375,-11.6250,-3.5000,0.14989829,0.14377998,0.95649375,15.99951,15.99951,15.11230
656,-27.6875,-14.6875,-4.0625,0.15601657,0.14072083,0.97586832,15.99951,15.99951,15.11230
658,-17.9375,-11.3750,-3.3750,0.13358281,0.14072083,0.96465148,15.99951,15.99951,15.11230
660,-23.5000,-9.9375,-2.7500,0.17233204,0.17437147,0.94017829,15.99951,15.99951,15.11230
662,-29.3750,-14.3125,-4.3750,0.16009545,0.15499686,0.97280921,15.99951,15.99951,15.11230
664,-17.1875,-17.7500,-7.5000,0.16213488,0.14887857,1.03909075,15.99951,15.99951,15.11230
666,-3.8125,-9.1875,-9.5625,0.13868140,0.16927289,0.96261205,15.99951,15.99951,15.11230
668,-4.1250,-3.0000,-9.0625,0.14072083,0.17131232,0.92590227,15.99951,15.99951,15.11230
670,-25.0625,8.2500,-2.6875,0.18762778,0.18966721,0.93304023,15.99951,15.99951,15.11230
672,-57.3125,25.7500,9.3125,0.19578551,0.16927289,0.96465148,15.99951,15.99951,15.11230
674,-81.5625,21.1250,9.6250,0.08463644,0.17539118,0.85146312,15.99951,15.99951,15.11230
676,-86.5625,13.1250,9.0625,0.09891248,0.15601657,0.94731636,15.99951,15.99951,15.11230
678,-107.3750,16.0625,10.0000,0.10197162,0.15703629,0.95343475,15.99951,15.99951,15.11230
680,-131.1875,22.0625,18.6875,0.14887857,0.07443929,0.96159238,15.99951,15.99951,15.11230
682,-142.6875,46.8125,31.1875,0.17131232,-0.02957177,1.06050479,15.99951,15.99951,15.11230
684,-134.7500,59.5000,32.1875,0.10808991,0.08667589,0.89938964,15.99951,15.99951,15.11230
686,-156.4375,16.3750,26.4375,0.04792666,-0.03161120,0.90346851,15.99951,15.99951,15.11230
688,-169.8750,12.3750,25.5000,0.00000000,-0.10605049,0.96669092,15.99951,15.99951,15.11230
690,-197.8750,32.1875,24.9375,0.07036042,-0.11216878,0.99728240,15.99951,15.99951,15.11230
692,-196.7500,40.1250,26.8750,0.03874921,-0.20394322,1.00951898,15.99951,15.99951,15.11230
694,-184.1250,51.1875,26.8125,0.07545900,-0.37729499,1.18694972,15.99951,15.99951,15.11230
696,-169.0000,46.8125,20.8125,0.05914354,-0.33548662,1.07885968,15.99951,15.99951,15.11230
698,-149.8750,36.1875,9.6875,-0.02957177,-0.37423584,1.09925401,15.99951,15.99951,15.11230
700,-124.5625,38.1250,5.0625,-0.07545900,-0.30387542,0.98198671,15.99951,15.99951,15.11230
702,-125.7500,6.9375,-14.6250,0.01223659,-0.30387542,0.86369972,15.99951,15.99951,15.11230
704,-126.6250,-8.5625,-23.8125,0.01427603,-0.57613968,1.17675244,15.99951,15.99951,15.11230
706,-115.6250,-2.0625,-20.4375,0.02039432,-0.62814517,1.25527071,15.99951,15.99951,15.11230
708,-64.0000,13.7500,-10.1250,0.00203943,-0.56186366,1.15125954,15.99951,15.99951,15.11230
710,-57.8750,3.8750,-9.9375,0.00917745,-0.53841018,0.99116411,15.99951,15.99951,15.11230
712,-51.5625,2.0000,-2.6250,0.07138013,-0.57308049,0.99320354,15.99951,15.99951,15.11230
714,-49.0625,-2.6250,-1.6875,0.03874921,-0.60673112,0.98606557,15.99951,15.99951,15.11230
716,-46.4375,-8.6250,-6.6250,0.02855205,-0.66893382,1.05030775,15.99951,15.99951,15.11230
